0.5         0.892528
0.55         0.811554
0.6         0.698899
0.65         0.559219
0.7         0.450813
0.75         0.36227
0.8         0.297256
0.85         0.244714
0.9         0.20347
0.95         0.17268
1         0.147505
1.05         0.126306
1.1         0.110053
1.15         0.0982125
1.2         0.0886134
1.25         0.079039
1.3         0.0710202
1.35         0.0645238
1.4         0.059625
1.45         0.054769
1.5         0.0507946
1.55         0.0471222
1.6         0.0440314
1.65         0.0409273
1.7         0.0382686
1.75         0.0358895
1.8         0.0336275
1.85         0.03196
1.9         0.0300533
1.95         0.0287636
2         0.027134
