0.5          0.872318
0.55         0.7927
0.6          0.58228
0.65         0.529492
0.7          0.479454
0.75         0.372568
0.8          0.300078
0.85         0.217243
0.9          0.198099
0.95         0.158656
1            0.13913
1.05         0.115666
1.1          0.115233
1.15         0.0912048
1.2          0.082934
1.25         0.0751736
1.3          0.068772
1.35         0.0656996
1.4          0.058536
1.45         0.0490812
1.5          0.0498376
1.55         0.0464036
1.6          0.0463484
1.65         0.0418972
1.7          0.0400872
1.75         0.036302
1.8          0.0374512
1.85         0.0312544
1.9          0.0309552
1.95         0.0309472
2            0.0275256
