0, 1.59142, 0
1, 1.55979, 0.0316302
2, 1.52189, 0.04207
3, 1.53823, 0.0339378
4, 1.55276, 0.0300392
5, 1.53925, 0.0280022
6, 1.52418, 0.0280569
7, 1.52351, 0.0243073
8, 1.52958, 0.022279
9, 1.53429, 0.0204776
10, 1.53221, 0.0186391
11, 1.53758, 0.0178403
12, 1.53113, 0.0176294
13, 1.53049, 0.0163344
14, 1.52895, 0.0152841
15, 1.52618, 0.0145625
16, 1.52152, 0.0144534
17, 1.52083, 0.013644
18, 1.51987, 0.0129415
19, 1.5183, 0.0123779
20, 1.52391, 0.013045
21, 1.52477, 0.0124673
22, 1.52316, 0.0120204
23, 1.52348, 0.011513
24, 1.52481, 0.0111229
25, 1.52053, 0.0115111
26, 1.51749, 0.0114865
27, 1.51419, 0.0115503
28, 1.5136, 0.0111605
29, 1.51012, 0.0113304
30, 1.50869, 0.0110517
31, 1.50994, 0.010774
32, 1.50805, 0.0106131
33, 1.50551, 0.0106051
34, 1.50431, 0.0103671
35, 1.50375, 0.0100905
36, 1.50244, 0.00990107
37, 1.50218, 0.00964061
38, 1.50166, 0.00940425
39, 1.50018, 0.00928517
40, 1.5004, 0.00905861
41, 1.50013, 0.00884454
42, 1.50292, 0.00907746
43, 1.50318, 0.00887261
44, 1.5018, 0.00878225
45, 1.50112, 0.00861616
46, 1.50129, 0.00843258
47, 1.50264, 0.00836445
48, 1.50267, 0.00819201
49, 1.50282, 0.00802795
50, 1.50546, 0.00830113
51, 1.50502, 0.00815223
52, 1.50432, 0.00802685
53, 1.50413, 0.00787908
54, 1.50354, 0.00775722
55, 1.50477, 0.00771621
56, 1.50514, 0.00758844
57, 1.50723, 0.00774512
58, 1.50689, 0.00762052
59, 1.50632, 0.00751378
60, 1.5059, 0.00740182
61, 1.50658, 0.0073137
62, 1.50726, 0.00722834
63, 1.50732, 0.00711477
64, 1.50727, 0.00700466
65, 1.50776, 0.00691539
66, 1.50725, 0.00683032
67, 1.50688, 0.00673947
68, 1.50592, 0.00671019
69, 1.50794, 0.00691581
70, 1.50807, 0.00681889
71, 1.50974, 0.00692805
72, 1.51009, 0.0068417
73, 1.51031, 0.00675218
